Model,Parameter,Value
Exponential,a,10275.317481465265
Exponential,b,0.002768321284470875
Exponential,c,-5866.139389949724
Logistic,L,211563.9999999961
Logistic,k,0.00450821083343723
Logistic,t0,885.0527310555221
Logistic,c_offset,2770.179542130328
Richards,L,211563.99999999997
Richards,k,0.0045288744320565455
Richards,t0,885.9999999999999
Richards,nu,1.0103968510144474
Richards,c_offset,2492.4905550834087
Gompertz,L,211563.99999999994
Gompertz,beta,0.0024619188440262755
Gompertz,k,776.9627316057267
Gompertz,c_offset,7606.610750631942
